insName,obj0504,rpdf0504,jobCount,stageCount,bestObj,rpdf,run_id,obj_gain
228,3759.0,0.3998400639744102,120,20,3711.0,-0.8853118712273642,20260427T232937_696372/20260427-1,48.0
169,1011.0,0.396432111000991,40,5,1007.0,0.0,20260411T101357_046173/20260410-02,4.0
8,2402.0,0.3753910323253389,80,20,2370.0,-0.9657778710896494,20260508T103353_525013/20260508-aggressive-state-split-exact-2nc,32.0
155,3319.0,0.3319752527538856,120,15,3293.0,-0.4544765944553856,20260510T025423_238291/20260510-01,26.0
126,1831.0,0.3282275711159737,80,10,1822.0,-0.164518782561009,20260501T034519_627934/20260429-2,9.0
236,5388.0,0.2973977695167286,200,20,5371.0,-0.0186167737131155,20260424T082903_591120/20260423-02-2nc,17.0
24,6168.0,0.2759964282815164,240,20,6109.0,-0.6851549755301795,20260508T214750_473411/20260508-full240-0504-backbone-neh-adaptive-cp-2nc,59.0
92,4413.0,0.2722940776038121,200,20,4409.0,0.1816118047673098,20260427T232937_696372/20260427-1,4.0
3,1490.0,0.2688172043010752,40,15,1486.0,0.0,20260426T165652_609087/20260426-01,4.0
19,5187.0,0.231615518239722,200,15,5179.0,0.077264825188333,20260510T025423_238291/20260510-01,8.0
49,878.0,0.2280501710376282,40,5,870.0,-0.6872852233676976,20260427T232937_696372/20260427-1,8.0
115,5189.0,0.2122118259863027,200,15,5178.0,0.0,20260429T155141_962595/20260429-1,11.0
132,3034.0,0.1979544704717915,120,20,3034.0,0.1979544704717915,20260504T184555_707193/20260504-01,0.0
142,5904.0,0.1695202576707916,240,10,5894.0,0.0,20260427T232937_696372/20260427-1,10.0
20,5610.0,0.1605565962001605,200,20,5597.0,-0.0714413288087158,20260503T193239_130238/20260502-01,13.0
30,2053.0,0.14623446258835,80,10,2031.0,-0.9311443273707424,20260511T113311_435296/20260511-01,22.0
80,2857.0,0.1401050788091068,80,20,2823.0,-1.0570824524312896,20260427T232937_696372/20260427-1,34.0
184,4579.0,0.1311188811188811,160,20,4568.0,-0.1093972213105787,20260427T232937_696372/20260427-1,11.0
168,6304.0,0.1269841269841269,240,20,6277.0,-0.3022349479042392,20260510T025423_238291/20260510-01,27.0
52,1591.0,0.1257861635220125,40,20,1579.0,-0.6313131313131313,20260503T122116_783419/20260502-01,12.0
179,3243.0,0.1234186979327368,120,15,3231.0,-0.2472952086553323,20260510T025423_238291/20260510-01,12.0
172,1688.0,0.1185536455245998,40,20,1662.0,-1.4336917562724014,20260501T034519_627934/20260429-2,26.0
121,889.0,0.112549240292628,40,5,889.0,0.112549240292628,20260427T232937_696372/20260427-1,0.0
136,3725.0,0.10744023636852,160,20,3725.0,0.10744023636852,20260504T184555_707193/20260504-01,0.0
226,2994.0,0.100250626566416,120,10,2994.0,0.100250626566416,20260504T184555_707193/20260504-01,0.0
