insName,obj0504,rpdf0504,jobCount,stageCount,bestObj,rpdf,run_id,summary_path,gain_vs_0504
1,976.0,0.0,40,5,976.0,0.0,20260411T101357_046173/20260410-02,Outputs_scenarios/20260411T101357_046173/ff2020/20260410-02/multi_instance_summary.csv,0.0
2,1292.0,0.0,40,10,1292.0,0.0,20260411T101357_046173/20260410-02,Outputs_scenarios/20260411T101357_046173/all_scenarios_summary.csv,0.0
3,1490.0,0.2688172043010752,40,15,1486.0,0.0,20260426T165652_609087/20260426-01,Outputs_scenarios/20260426T165652_609087/ff2020/20260426-01/multi_instance_summary.csv,0.2688172043010752
4,1920.0,-1.190784364483562,40,20,1890.0,-2.7654578659013827,20260501T034519_627934/20260429-2,Outputs_scenarios/20260501T034519_627934/all_scenarios_summary.csv,1.5746735014178206
5,1974.0,0.0,80,5,1974.0,0.0,20260411T101357_046173/20260410-02,Outputs_scenarios/20260411T101357_046173/all_scenarios_summary.csv,0.0
6,2182.0,0.9670734515311996,80,10,2165.0,0.184928340268146,20260429T155141_962595/20260429-1,Outputs_scenarios/20260429T155141_962595/ff2020/20260429-1/multi_instance_summary.csv,0.7821451112630536
7,2333.0,0.0,80,15,2333.0,0.0,20260426T143314_938246/20260426-01,Outputs_scenarios/20260426T143314_938246/ff2020/20260426-01/multi_instance_summary.csv,0.0
8,2402.0,0.3753910323253389,80,20,2370.0,-0.9657778710896494,20260508T103353_525013/20260508-aggressive-state-split-exact-2nc,Outputs_scenarios/20260508T103353_525013/ff2020/20260508-aggressive-state-split-exact-2nc/multi_instance_summary.csv,1.3411689034149883
9,2819.0,0.0354798651765123,120,5,2818.0,0.0,20260411T101357_046173/20260410-02,Outputs_scenarios/20260411T101357_046173/ff2020/20260410-02/multi_instance_summary.csv,0.0354798651765123
10,3124.0,0.0,120,10,3124.0,0.0,20260429T155141_962595/20260429-1,Outputs_scenarios/20260429T155141_962595/ff2020/20260429-1/multi_instance_summary.csv,0.0
11,3255.0,-0.9478672985781992,120,15,3246.0,-1.224739742804654,20260514T210324_101794/20260515-1,Outputs_scenarios/20260514T210324_101794/ff2020/20260515-1/multi_instance_summary.csv,0.27687244422645485
