selected_lane,count,mean_delta_obj,sum_delta_obj,worse,better,equal,decision
no_suffix_guard_or_skip,103,-0.1262135922330097,-13.0,3,9,91,not a lane: motivates small-gap plain NEH10 fallback
safe_0504_first_neh,28,-12.392857142857142,-347.0,11,15,2,keep as plain_neh10_first and small-gap A-only path
delayed_profile_first_neh,34,-7.882352941176471,-268.0,12,21,1,keep as delayed_profile_neh10_first for open-gap instances
retained_cp_sequence_first_neh,28,-4.214285714285714,-118.0,11,16,1,drop from final 2-lane: net gain, but less clean after retained CP backbone
cp_seeded_first_neh,31,2.548387096774193,79.0,16,15,0,drop: only selected lane with positive mean delta vs 0504
interleaved_pw_neh_basin,16,-8.5,-136.0,5,9,2,drop from final: suffix is now one common NEH/PW ladder
