insName,bestObj,rpdf,jobCount,stageCount,timelimit,method,type
1,976.0,0.0,40,5,400.0,0504,40x5
2,1292.0,0.0,40,10,800.0,0504,40x10
3,1490.0,0.2688172043010752,40,15,1200.0,0504,40x15
4,1920.0,-1.190784364483562,40,20,1600.0,0504,40x20
5,1974.0,0.0,80,5,800.0,0504,80x5
6,2182.0,0.9670734515311996,80,10,1600.0,0504,80x10
7,2333.0,0.0,80,15,2400.0,0504,80x15
8,2402.0,0.3753910323253389,80,20,3200.0,0504,80x20
9,2819.0,0.0354798651765123,120,5,1200.0,0504,120x5
10,3124.0,0.0,120,10,2400.0,0504,120x10
11,3255.0,-0.9478672985781992,120,15,3600.0,0504,120x15
12,3640.0,0.0824515597086711,120,20,4800.0,0504,120x20
13,4141.0,0.0,160,5,1600.0,0504,160x5
14,4270.0,0.0,160,10,3200.0,0504,160x10
15,4179.0,0.527831094049904,160,15,4800.0,0504,160x15
16,4457.0,-0.9379187137114784,160,20,6400.0,0504,160x20
17,5020.0,0.0,200,5,2000.0,0504,200x5
18,5534.0,0.0,200,10,4000.0,0504,200x10
19,5187.0,0.231615518239722,200,15,6000.0,0504,200x15
20,5610.0,0.1605565962001605,200,20,8000.0,0504,200x20
21,6347.0,0.015756716300323,240,5,2400.0,0504,240x5
22,6233.0,-0.0160423518087751,240,10,4800.0,0504,240x10
23,6506.0,0.0,240,15,7200.0,0504,240x15
24,6168.0,0.2759964282815164,240,20,9600.0,0504,240x20
25,978.0,0.0,40,5,400.0,0504,40x5
26,1294.0,-0.2315708220764183,40,10,800.0,0504,40x10
27,1572.0,-0.4443033957473817,40,15,1200.0,0504,40x15
28,1907.0,-1.0432968179447053,40,20,1600.0,0504,40x20
29,2098.0,0.0,80,5,800.0,0504,80x5
30,2053.0,0.14623446258835,80,10,1600.0,0504,80x10
31,2328.0,0.0,80,15,2400.0,0504,80x15
32,2470.0,0.7314099959366112,80,20,3200.0,0504,80x20
33,3051.0,0.0,120,5,1200.0,0504,120x5
34,2971.0,0.6076975016880486,120,10,2400.0,0504,120x10
35,3344.0,1.9018867924528304,120,15,3600.0,0504,120x15
36,3573.0,0.0279916025192442,120,20,4800.0,0504,120x20
37,3941.0,0.0,160,5,1600.0,0504,160x5
38,3901.0,0.0512820512820512,160,10,3200.0,0504,160x10
39,4157.0,1.5759485998302825,160,15,4800.0,0504,160x15
40,3716.0,0.0,160,20,6400.0,0504,160x20
41,5010.0,0.0,200,5,2000.0,0504,200x5
42,4943.0,0.0,200,10,4000.0,0504,200x10
43,5254.0,0.0190349290948891,200,15,6000.0,0504,200x15
44,5402.0,-0.1294977337896586,200,20,8000.0,0504,200x20
45,5964.0,0.0,240,5,2400.0,0504,240x5
46,6098.0,0.0328030178776447,240,10,4800.0,0504,240x10
47,6425.0,0.0,240,15,7200.0,0504,240x15
