method,jobCount,stageCount,count,mean_rpdf,median_rpdf,min_rpdf,max_rpdf,neg_count,zero_count,pos_count
0504,40,5,10,0.04983805331455156,0.0,-0.5344735435595938,0.7653061224489796,2,4,4
0504,40,10,10,0.05000349757455578,-0.19366703097590385,-0.6275212909009413,1.2513801987486195,6,1,3
0504,40,15,10,-0.8042658553295088,-0.6111738815601402,-1.9153537225826385,0.2688172043010752,9,0,1
0504,40,20,10,-0.7168039505350594,-0.7648840486160045,-2.006269592476489,0.1257861635220125,7,1,2
0504,80,5,10,0.00499375780274656,0.0,0.0,0.0499375780274656,0,9,1
0504,80,10,10,0.39703858487332855,0.5855035179684189,-0.9306654257794325,0.9670734515311996,1,0,9
0504,80,15,10,0.4925536888245435,0.6231686231686231,-0.5621621621621622,1.4265335235378032,1,3,6
0504,80,20,10,-0.3342590419779443,-0.17605215646538186,-2.468239564428312,0.7314099959366112,5,0,5
0504,120,5,10,0.0035479865176512295,0.0,0.0,0.0354798651765123,0,9,1
0504,120,10,10,0.08036266484266859,0.0,0.0,0.6076975016880486,0,7,3
0504,120,15,10,0.8015845990617982,1.1034446054309486,-0.9478672985781992,1.9018867924528304,2,0,8
0504,120,20,10,-0.14907333868872336,0.055221581113957655,-1.488833746898263,0.9724473257698542,4,0,6
0504,160,5,10,0.0,0.0,0.0,0.0,0,10,0
0504,160,10,10,0.0051282051282051195,0.0,0.0,0.0512820512820512,0,9,1
0504,160,15,10,1.442816299387302,1.5964695334133916,0.527831094049904,2.051161145821054,0,0,10
0504,160,20,10,0.06766792207012029,0.05372011818426,-0.9379187137114784,1.3403880070546736,3,2,5
0504,200,5,10,0.00594017346425827,0.0,0.0,0.0200140098068648,0,7,3
0504,200,10,10,0.0104545265380621,0.0,-0.018279864729001,0.0614817091915155,1,7,2
0504,200,15,10,0.17732055746156042,0.027899817488620998,-0.0894534394847481,1.3247691690084304,1,3,6
0504,200,20,10,0.17473546941977583,0.035202796635126495,-1.0544026920919798,1.4759458197104156,5,0,5
0504,240,5,10,0.0015756716300323,0.0,0.0,0.015756716300323,0,9,1
0504,240,10,10,0.006293833971252589,0.0,-0.1233425840271353,0.1695202576707916,2,6,2
0504,240,15,10,0.012655886990604598,0.0,0.0,0.0813338755591703,0,8,2
0504,240,20,10,0.4385539633344397,0.5056824378532382,-0.9261515963928832,1.4019821126420111,2,0,8
0510,40,5,10,0.01716667317199891,0.0,-0.823045267489712,1.2478729438457177,3,3,4
0510,40,10,10,0.0655009266236751,0.0,-1.4106583072100314,1.1695906432748535,4,2,4
0510,40,15,10,-0.14732084105944054,-0.23063260176725814,-1.355514479359211,1.668335001668335,7,0,3
0510,40,20,10,-0.4610317307794024,-0.435846651632513,-1.6901408450704225,0.3986229389382134,7,0,3
0510,80,5,10,0.00499375780274656,0.0,0.0,0.0499375780274656,0,9,1
0510,80,10,10,0.7939498914334127,0.6484977094276181,-0.3386004514672686,2.557544757033248,1,0,9
0510,80,15,10,0.0014438374441239077,0.0409088254571112,-1.2147505422993492,1.3793103448275863,3,1,6
0510,80,20,10,0.039844358163597104,0.16039350231956534,-2.4315006350934496,1.866832607342875,5,0,5
0510,120,5,10,0.0,0.0,0.0,0.0,0,10,0
0510,120,10,10,0.12471496380584464,0.01595150741745095,0.0,0.998003992015968,0,5,5
0510,120,15,10,0.6022884145745808,0.2379858803202205,-0.7330482590103848,2.794891059353869,4,0,6
0510,120,20,10,-0.31850362022593953,-0.3147264573425934,-1.4962593516209477,1.214508452322337,7,0,3
0510,160,5,10,0.0,0.0,0.0,0.0,0,10,0
0510,160,10,10,0.01215149905305587,0.0,0.0,0.0702329392485075,0,8,2
0510,160,15,10,1.1333449448140274,1.1949811840641622,0.0,2.2694210066918825,0,1,9
0510,160,20,10,0.23226282049010588,0.2265468298806104,-1.0731052984574112,1.3275465917794231,4,0,6
0510,200,5,10,0.0,0.0,0.0,0.0,0,10,0
0510,200,10,10,0.008410163996353701,0.0,-0.018279864729001,0.0614817091915155,1,7,2
0510,200,15,10,0.08079140627551507,0.0286944045911047,-0.1073537305421363,0.6445115810674723,2,3,5
0510,200,20,10,0.4309512942379933,0.4029463379630952,-0.2035717590450634,1.3274749929886884,2,0,8
0510,240,5,10,0.0015756716300323,0.0,0.0,0.015756716300323,0,9,1
0510,240,10,10,-0.013938493583591038,0.0,-0.1233425840271353,0.0,2,8,0
0510,240,15,10,0.00813338755591703,0.0,0.0,0.0813338755591703,0,9,1
0510,240,20,10,0.2721014744650257,0.30790665445651433,-0.9577144712279848,1.674718196457327,4,0,6
Candidate D,40,5,10,-0.06997268458259852,-0.04967709885742108,-0.3519061583577713,0.10655301012253596,5,4,1
Candidate D,40,10,10,0.030149091194139256,0.0,-1.0168165819319337,1.1049723756906245,4,2,4
Candidate D,40,15,10,-0.6962969962651778,-0.7410620778512693,-1.870679137860919,0.6038242200603977,8,0,2
Candidate D,40,20,10,-0.9314410793965339,-1.1539802742080005,-1.9094548814290253,0.3861003861004007,8,0,2
Candidate D,80,5,10,0.0049937578027454315,0.0,0.0,0.04993757802745431,0,9,1
Candidate D,80,10,10,0.5015303793815808,0.150723212904048,-0.24169184290030213,1.6557236654296317,4,0,6
Candidate D,80,15,10,0.12615619401248174,0.04050222762251924,-1.520747338692177,1.284796573875803,3,2,5
Candidate D,80,20,10,-0.003228853001562304,0.020889910173386254,-1.2628540501533465,1.7268445839874411,4,1,5
Candidate D,120,5,10,0.0,0.0,0.0,0.0,0,10,0
Candidate D,120,10,10,0.23091014847250585,0.014570887367040652,0.0,2.0843672456575684,0,5,5
Candidate D,120,15,10,0.14930067139075648,0.23076355637182813,-0.8864435274338989,0.9202453987730062,3,0,7
Candidate D,120,20,10,-0.4378421164850506,-0.5499482009341063,-1.6468946266573494,0.7567034051653232,6,0,4
Candidate D,160,5,10,0.0,0.0,0.0,0.0,0,10,0
Candidate D,160,10,10,0.0051282051282039625,0.0,0.0,0.05128205128203962,0,9,1
Candidate D,160,15,10,0.9171809212078854,1.0766911265008305,0.0736105999263894,2.0836306550592396,0,0,10
Candidate D,160,20,10,0.17769415007713132,0.24528773670205306,-0.8932196508323184,1.2834224598930482,4,0,6
Candidate D,200,5,10,0.002001400980682898,0.0,-1.8197172904620414e-14,0.020014009806864807,0,9,1
Candidate D,200,10,10,0.004178357167655793,0.0,-0.018279864729001005,0.020498103925386903,1,6,3
Candidate D,200,15,10,0.14395941218099292,8.656907498314565e-15,-0.128783000643915,1.4642463143114852,3,3,4
Candidate D,200,20,10,0.06472006666482935,0.04725307944777559,-0.8167811397809541,1.6797312430011198,5,0,5
Candidate D,240,5,10,0.0015756716300337342,0.0,0.0,0.015756716300337342,0,9,1
Candidate D,240,10,10,-0.012241996849350126,0.0,-0.12334258402714939,0.016964967342437867,2,7,1
Candidate D,240,15,10,0.012655886990603238,0.0,0.0,0.08133387555917039,0,8,2
Candidate D,240,20,10,-0.008854971947678564,-0.13568937345452226,-0.9896249002394399,1.0499959615539793,6,0,4
