method,count,mean_rpdf,median_rpdf,min_rpdf,max_rpdf,neg_count,zero_count,pos_count,gt_0p1_count
0504,240,0.0924442981531759,0.0,-2.468239564428312,2.051161145821054,51,95,94,74
0510,240,0.12036794999540135,0.0,-2.4315006350934496,2.794891059353869,56,95,89,68
Candidate D,240,0.008843983989761517,0.0,-1.9094548814290253,2.0843672456575684,66,94,80,57
