step_idx,method,avg_rpdf,avg_obj,avg_norm_time_nc,avg_elapsed_sec,instance_count,label
1,initialize_by_dispatch_portfolio,5.0599241529698675,3192.08,0.030634233413588306,67.33421298502944,50,init dispatch
2,initialize_by_tau_coarsened_cp,3.3451919837013264,3154.96,0.2124903482885773,437.34593566001394,50,tau surrogate
3,critical_schedule_repair_ls,3.2905965235930843,3153.78,0.2213166772095052,458.55599394662306,50,critical repair
4,apply_retained_stage_cp_lb,3.2673407967171637,3153.58,0.2979139622363904,607.6736301159766,50,CP-LB #1
5,dispatch_from_retained_cp,3.000873917956584,3143.26,0.3986075002232222,838.551781227095,50,post-dispatch #1
6,apply_workload_adaptive_retained_stage_cp_lb,3.000873917956584,3143.26,0.47882845177814204,993.1769065129384,50,CP-LB #2
7,dispatch_from_retained_cp,2.813535483652873,3136.2,0.5808415078414292,1227.0808473499026,50,post-dispatch #2
8,set_stage_workload_adaptive_final_time_reserve,2.813535483652873,3136.2,0.5809301426947672,1227.2535426582863,50,reserve set
9,suffix_probe_portfolio,0.26465175034977234,3061.24,1.249911111420232,2755.825229987288,50,suffix probe
10,solve_base_cp_model_from_final_time_reserve,-0.03876767655328719,3052.64,2.00003698560718,3856.076912013255,50,final CP-LNS
