baseline,count,mean_delta,median_delta,win,tie,loss,mean_rpdf_pct,median_rpdf_pct,p25_delta,p75_delta
init_dispatch,240,-21.216666666666665,-6.5,161,79,0,-0.9874233451080872,-0.1700181362312767,-34.25,0.0
0504_final_dispatch_or_final,240,-1.1041666666666667,1.0,88,30,122,-0.2628177369367155,0.016063024699130377,-10.5,7.0
0504_final_best,240,50.28333333333333,22.0,2,18,220,1.6732238656629648,1.38739818512601,3.0,96.0
