step,count,avg_obj,median_obj,avg_cum_nc,median_cum_nc,avg_delta_obj_vs_prev,improve_vs_prev,tie_vs_prev,worse_vs_prev,avg_inc_nc
init_dispatch,240,3785.295833333333,3854.5,0.026608360463258998,0.025478121342719533,,,,,0.026608360463258998
tau,240,3764.079166666667,3807.5,0.18118878695169727,0.19918332708155503,-21.216666666666665,161.0,79.0,0.0,0.15458042648843826
repair,240,3763.4041666666667,3806.0,0.19117653567972814,0.20652750383732685,-0.675,61.0,179.0,0.0,0.009987748728030864
cp_lb1,240,3762.866666666667,3806.0,0.24636834226270357,0.27109788919158745,-0.5375,37.0,203.0,0.0,0.05519180658297544
post_dispatch1,240,3756.8166666666666,3801.5,0.3215962093330307,0.3360242078550315,-6.05,76.0,164.0,0.0,0.07522786707032715
cp_lb2,240,3756.7458333333334,3801.5,0.3830321483500131,0.41545914469762163,-0.07083333333333333,7.0,233.0,0.0,0.06143593901698232
post_dispatch2,240,3752.1625,3798.0,0.45840866387097573,0.48810323582089044,-4.583333333333333,56.0,184.0,0.0,0.07537651552096272
suffix_probe_or_guard,240,3724.4708333333333,3716.0,0.9501957282361367,1.0100693454362046,-27.691666666666666,147.0,93.0,0.0,0.49178706436516084
final,240,3710.6541666666667,3678.0,1.512010527281549,2.0001278343520243,-13.816666666666666,151.0,89.0,0.0,0.5618147990454125
