insName,jobCount,stageCount,best_prefix_obj,first_best_source,last_best_source,strict_last_improvement_source,init_dispatch,tau,post_dispatch1,post_dispatch2
62,160,10,4586.0,init_dispatch,post_dispatch2,init_dispatch,4586.0,4586.0,4586.0,4586.0
60,120,20,3702.0,post_dispatch1,post_dispatch2,post_dispatch1,3804.0,3703.0,3702.0,3702.0
70,240,10,6482.0,init_dispatch,post_dispatch2,init_dispatch,6482.0,6482.0,6482.0,6482.0
69,240,5,6079.0,post_dispatch2,post_dispatch2,post_dispatch2,6080.0,6080.0,6080.0,6079.0
48,240,20,5270.0,post_dispatch2,post_dispatch2,post_dispatch2,5330.0,5330.0,5310.0,5270.0
63,160,15,4188.0,post_dispatch2,post_dispatch2,post_dispatch2,4230.0,4230.0,4230.0,4188.0
67,200,15,5243.0,init_dispatch,post_dispatch2,init_dispatch,5243.0,5243.0,5243.0,5243.0
77,80,5,1898.0,init_dispatch,post_dispatch2,init_dispatch,1898.0,1898.0,1898.0,1898.0
74,40,10,1331.0,tau,post_dispatch2,tau,1373.0,1331.0,1331.0,1331.0
75,40,15,1415.0,tau,post_dispatch2,tau,1500.0,1415.0,1415.0,1415.0
81,120,5,3195.0,post_dispatch1,post_dispatch2,post_dispatch1,3196.0,3196.0,3195.0,3195.0
64,160,20,4014.0,post_dispatch2,post_dispatch2,post_dispatch2,4060.0,4053.0,4053.0,4014.0
79,80,15,2634.0,post_dispatch1,post_dispatch2,post_dispatch1,2719.0,2663.0,2634.0,2634.0
71,240,15,6037.0,init_dispatch,post_dispatch2,init_dispatch,6037.0,6037.0,6037.0,6037.0
82,120,10,3198.0,post_dispatch1,post_dispatch2,post_dispatch1,3200.0,3199.0,3198.0,3198.0
80,80,20,2906.0,tau,post_dispatch2,tau,3012.0,2906.0,2906.0,2906.0
89,200,5,5146.0,post_dispatch1,post_dispatch2,post_dispatch1,5149.0,5149.0,5146.0,5146.0
90,200,10,5229.0,tau,post_dispatch2,tau,5230.0,5229.0,5229.0,5229.0
85,160,5,3940.0,tau,post_dispatch2,tau,3945.0,3940.0,3940.0,3940.0
83,120,15,2863.0,post_dispatch1,post_dispatch2,post_dispatch1,2886.0,2879.0,2863.0,2863.0
86,160,10,4157.0,tau,post_dispatch2,tau,4163.0,4157.0,4157.0,4157.0
93,240,5,6127.0,post_dispatch1,post_dispatch2,post_dispatch1,6129.0,6129.0,6127.0,6127.0
94,240,10,6142.0,tau,post_dispatch2,tau,6146.0,6142.0,6142.0,6142.0
97,40,5,768.0,post_dispatch1,post_dispatch2,post_dispatch1,787.0,772.0,768.0,768.0
101,80,5,2164.0,post_dispatch1,post_dispatch2,post_dispatch1,2170.0,2167.0,2164.0,2164.0
72,240,20,5189.0,post_dispatch2,post_dispatch2,post_dispatch2,5238.0,5229.0,5194.0,5189.0
88,160,20,3786.0,post_dispatch1,post_dispatch2,post_dispatch1,3847.0,3807.0,3786.0,3786.0
91,200,15,5249.0,tau,post_dispatch2,tau,5274.0,5249.0,5249.0,5249.0
102,80,10,1716.0,post_dispatch1,post_dispatch2,post_dispatch1,1750.0,1719.0,1716.0,1716.0
109,160,5,4071.0,post_dispatch1,post_dispatch2,post_dispatch1,4075.0,4072.0,4071.0,4071.0
105,120,5,2890.0,post_dispatch1,post_dispatch2,post_dispatch1,2891.0,2891.0,2890.0,2890.0
104,80,20,2404.0,tau,post_dispatch2,tau,2460.0,2404.0,2404.0,2404.0
92,200,20,4512.0,post_dispatch2,post_dispatch2,post_dispatch2,4581.0,4560.0,4546.0,4512.0
106,120,10,3236.0,post_dispatch1,post_dispatch2,post_dispatch1,3242.0,3237.0,3236.0,3236.0
95,240,15,6637.0,post_dispatch1,post_dispatch2,post_dispatch1,6638.0,6638.0,6637.0,6637.0
110,160,10,4182.0,post_dispatch1,post_dispatch2,post_dispatch1,4200.0,4188.0,4182.0,4182.0
117,240,5,6319.0,init_dispatch,post_dispatch2,init_dispatch,6319.0,6319.0,6319.0,6319.0
113,200,5,4997.0,post_dispatch1,post_dispatch2,post_dispatch1,5000.0,5000.0,4997.0,4997.0
114,200,10,5470.0,init_dispatch,post_dispatch2,init_dispatch,5470.0,5470.0,5470.0,5470.0
