step_key,label,phase,count,avg_time_nc,avg_sec,avg_obj,avg_rpdf,median_rpdf
01_init_dispatch,init dispatch,prefix,240,0.026608360463258995,57.22928253715121,3785.295833333333,2.7526553061916603,2.547480309607746
02_tau,tau coarsened init,prefix,240,0.18118878695169727,366.4199343013034,3764.079166666667,1.7656328944680542,1.298856165728278
03_crit_repair,critical repair,prefix,240,0.19117653567972814,389.2691180778803,3763.4041666666667,1.7349113996798875,1.2411640967207176
04_cp_lb1,CP-LB #1,cp-lb,240,0.24636834226270357,486.19364610638587,3762.866666666667,1.695805757778776,0.9436732481597736
05_post_dispatch1,post-dispatch #1,post-dispatch,240,0.3215962093330307,659.8838919289468,3756.8166666666666,1.5466526859683705,0.7332594041938285
06_cp_lb2,CP-LB #2,cp-lb,240,0.38303214835001304,775.3108279875654,3756.7458333333334,1.5402069805984553,0.7332594041938285
07_post_dispatch2,post-dispatch #2,post-dispatch,240,0.45840866387097573,953.1869908794508,3752.1625,1.428352607618056,0.7268771093320806
08_suffix_probe,suffix lane probe / guard,suffix,240,0.7608652131414672,1617.398186474536,3724.0416666666665,0.5314223666152377,0.04381241237377705
09_suffix_step1,selected suffix step 1,suffix,240,0.7941572537085967,1703.6497031412027,3722.204166666667,0.4694521580181527,0.020363343456574305
10_suffix_step2,selected suffix step 2,suffix,240,0.8205327691021153,1772.754611474536,3721.5958333333333,0.43722310951495225,0.019675379649637566
11_suffix_step3,selected suffix step 3,suffix,240,0.8540469305025782,1858.4840031412027,3720.7166666666667,0.39488379921012395,0.0
12_suffix_step4,selected suffix step 4,suffix,240,0.8834478179447078,1932.2721781412029,3720.2208333333333,0.37501633493471515,0.0
13_suffix_step5,selected suffix step 5,suffix,240,0.92066822766693,2004.041848974536,3715.5041666666666,0.19698912497674792,0.0
14_suffix_step6,selected suffix step 6,suffix,240,0.9436999073833652,2046.3488823078694,3715.008333333333,0.1755646991146134,0.0
15_suffix_complete,selected suffix complete,suffix,240,0.9500951930604485,2059.974653141203,3714.9625,0.17314791738147794,0.0
16_final_cp,final CP-LNS,final,240,1.5120105272815492,2885.7545573578855,3710.45,0.008843983989761838,0.0
