step_key,label,phase,count,avg_time_nc,avg_sec,avg_obj,avg_rpdf,median_rpdf
01_init_dispatch,init dispatch,prefix,240,0.026608360463258995,57.22928253715121,3785.295833333333,2.7526553061916603,2.547480309607746
02_tau,tau coarsened init,prefix,240,0.18118878695169727,366.4199343013034,3764.079166666667,1.7656328944680542,1.298856165728278
03_crit_repair,critical repair,prefix,240,0.19117653567972814,389.2691180778803,3763.4041666666667,1.7349113996798875,1.2411640967207176
04_cp_lb1,CP-LB #1,cp-lb,240,0.24636834226270357,486.19364610638587,3762.866666666667,1.695805757778776,0.9436732481597736
05_post_dispatch1,post-dispatch #1,post-dispatch,240,0.3215962093330307,659.8838919289468,3756.8166666666666,1.5466526859683705,0.7332594041938285
06_cp_lb2,CP-LB #2,cp-lb,240,0.38303214835001304,775.3108279875654,3756.7458333333334,1.5402069805984553,0.7332594041938285
07_post_dispatch2,post-dispatch #2,post-dispatch,240,0.45840866387097573,953.1869908794508,3752.1625,1.428352607618056,0.7268771093320806
08_suffix_probe,suffix lane probe winner,suffix,137,0.8988527639134634,2002.9953078043538,3096.4306569343066,0.9280187736408949,0.8228840125391849
09_suffix_step1,selected suffix step 1,suffix,137,0.9571745868047853,2154.0928552496093,3093.211678832117,0.8194578242737387,0.7170294494238156
10_suffix_step2,selected suffix step 2,suffix,137,1.0033798692459857,2275.152548680266,3092.1459854014597,0.762998177260833,0.6216006216006216
11_suffix_step3,selected suffix step 3,suffix,137,1.062090808925629,2425.3354245926753,3090.605839416058,0.6888271227122285,0.5416792055371652
12_suffix_step4,selected suffix step 4,suffix,137,1.113596013203812,2554.599380797055,3089.7372262773724,0.6540228057334103,0.5416792055371652
13_suffix_step5,selected suffix step 5,suffix,137,1.1787996506733986,2680.327271308003,3081.4744525547444,0.34215032113551136,0.3027550711474417
14_suffix_step6,selected suffix step 6,suffix,137,1.2191471187897813,2754.4417822569085,3080.605839416058,0.30461848020914434,0.20665426741062204
15_suffix_complete,selected suffix complete,suffix,137,1.230350538954015,2778.311745760558,3080.5255474452556,0.3003847019905129,0.20665426741062204
16_final_cp,final CP-LNS,final,240,1.5120105272815492,2885.7545573578855,3710.45,0.008843983989761838,0.0
